date,val
20220103,75.99
20220104,77
20220105,77.83
20220106,79.47
20220107,79
20220110,78.11
20220111,81.17
20220112,82.51
20220113,81.97
20220114,83.82
20220118,85.42
20220119,86.84
20220120,86.29
20220121,85.16
20220124,84.48
20220125,86.61
20220126,88.33
20220127,87.61
20220128,87.67
20220131,89.16
20220201,88.22
20220202,88.16
20220203,90.17
20220204,92.27
20220207,91.25
20220208,89.32
20220209,89.57
20220210,89.83
20220211,93.1
20220214,95.52
20220215,92.07
20220216,93.83
20220217,91.78
20220218,91.26
20220222,92.11
20220223,92.14
20220224,92.77
20220225,91.68
20220228,96.13
20220301,103.66
20220302,110.74
20220303,107.69
20220304,115.77
20220307,119.26
20220308,123.64
20220309,108.81
20220310,105.93
20220311,109.31
20220314,103.22
20220315,96.42
20220316,94.85
20220317,102.97
20220318,104.69
20220321,112.14
20220322,111.03
20220323,114.89
20220324,114.2
20220325,116.2
20220328,107.55
20220329,104.25
20220330,107.81
20220331,100.53
20220401,99.32
20220404,103.29
20220405,101.98
20220406,96.39
20220407,96.05
20220408,98.35
20220411,94.22
20220412,100.52
20220413,104.26
20220414,106.84
20220418,108.24
20220419,102.54
20220420,102.56
20220421,103.89
20220422,102.86
20220425,99.6
20220426,102.62
20220427,101.96
20220428,105.47
20220429,104.59
20220502,105.18
20220503,102.53
20220504,107.84
20220505,108.17
20220506,109.72
20220509,103.08
20220510,99.74
20220511,105.5
20220512,106.15
20220513,110.52
20220516,114.07
20220517,112.31
20220518,109.67
20220519,112.21
20220520,112.63
20220523,110.32
20220524,112.55
20220525,112.88
20220526,116.19
20220527,114.96
20220531,114.38
20220601,115.26
20220602,116.88
20220603,118.97
20220606,118.41
20220607,119.55
20220608,121.94
20220609,121.52
20220610,120.73
20220613,120.92
20220614,118.92
20220615,115.32
20220616,117.56
20220617,109.56
20220621,110.49
20220622,106.22
20220623,105.75
20220624,109.07
20220627,111.44
20220628,113.66
20220629,111.65
20220630,107.76
20220701,110.3
20220705,101.55
20220706,100.31
20220707,104.62
20220708,106.78
20220711,106.09
20220712,97.69
20220713,98.44
20220714,97.79
20220715,99.59
20220718,104.48
20220719,106.12
20220720,104.45
20220721,98.44
20220722,97.71
20220725,99.83
20220726,97.74
20220727,100.03
20220728,99.11
20220729,101.31
20220801,96.59
20220802,97.14
20220803,93.25
20220804,91.29
20220805,91.77
20220808,93.52
20220809,93.18
20220810,94.68
20220811,97.02
20220812,94.86
20220815,92.24
20220816,89.23
20220817,90.85
20220818,93.2
20220819,93.55
20220822,93.42
20220823,96.46
20220824,95.52
20220825,93.33
20220826,93.63
20220829,97.4
20220830,92.08
20220831,90.09
20220901,87.09
20220902,87.29
20220906,87.35
20220907,82.5
20220908,84.04
20220909,87.27
20220912,88.18
20220913,87.84
20220914,88.88
20220915,85.72
20220916,85.57
20220919,86.15
20220920,84.69
20220921,83.38
20220922,84.02
20220923,79.07
20220926,77.17
20220927,78.91
20220928,82.61
20220929,81.78
20220930,79.91
20221003,84.05
20221004,86.87
20221005,88.22
20221006,88.9
20221007,93.07
20221010,91.6
20221011,89.75
20221012,87.83
20221013,89.59
20221014,86.1
20221017,86
20221018,83.29
20221019,86
20221020,86.02
20221021,85.47
20221024,86.12
20221025,86.93
20221026,89.39
20221027,89.06
20221028,87.85
20221031,86.54
20221101,88.36
20221102,90.06
20221103,88.14
20221104,92.58
20221107,91.8
20221108,88.8
20221109,85.79
20221110,86.52
20221111,89.14
20221114,85.85
20221115,86.87
20221116,85.62
20221117,81.69
20221118,80.07
20221121,79.74
20221122,80.83
20221123,77.93
20221125,76.45
20221128,77.1
20221129,77.96
20221130,80.48
20221201,81.06
20221202,79.86
20221205,76.83
20221206,74.21
20221207,71.93
20221208,71.3
20221209,71.05
20221212,72.96
20221213,75.44
20221214,77.14
20221215,75.89
20221216,74.19
20221219,75.05
20221220,75.92
20221221,78.17
20221222,77.68
20221223,79.57
20221227,79.45
20221228,78.89
20221229,78.43
20221230,80.16
20230103,76.87
20230104,72.82
20230105,73.61
20230106,73.77
20230109,74.69
20230110,75.11
20230111,77.46
20230112,78.32
20230113,79.9
20230117,80.25
20230118,79.53
20230119,80.31
20230120,81.27
20230123,81.62
20230124,79.86
20230125,79.78
20230126,80.64
20230127,79.73
20230130,77.97
20230131,78.95
20230201,76.34
20230202,75.87
20230203,73.4
20230206,74.11
20230207,77.17
20230208,78.47
20230209,78.04
20230210,79.74
20230213,80.14
20230214,79.08
20230215,78.57
20230216,78.45
20230217,76.31
20230221,76.28
20230222,73.95
20230223,75.26
20230224,76.19
20230227,75.57
20230228,76.88
20230301,77.57
20230302,78.05
20230303,79.62
20230306,80.39
20230307,77.45
20230308,76.56
20230309,75.6
20230310,76.55
20230313,74.68
20230314,71.18
20230315,67.38
20230316,68.15
20230317,66.61
20230320,67.56
20230321,69.4
20230322,70.71
20230323,69.77
20230324,69.22
20230327,72.87
20230328,73.12
20230329,72.95
20230330,74.32
20230331,75.68
20230403,80.4
20230404,80.7
20230405,80.69
20230406,80.7
20230410,79.79
20230411,81.54
20230412,83.26
20230413,82.16
20230414,82.58
20230417,80.93
20230418,80.85
20230419,79.18
20230420,77.27
20230421,77.86
20230424,78.64
20230425,77.05
20230426,74.33
20230427,74.77
20230428,76.78
20230501,75.65
20230502,71.71
20230503,68.62
20230504,68.52
20230505,71.32
20230508,73.13
20230509,73.68
20230510,72.53
20230511,70.81
20230512,70.02
