date,price
20231201,"77.76"
20231101,"76.64"
20231001,"78.38"
20230901,"79.10"
20230601,"75.55"
20230501,"76.24"
20230401,"75.40"
20230301,"80.42"
20230201,"83.67"
20223012,"79.40"
20222912,"82.36"
20222812,"84.13"
20222712,"86.08"
20222312,"86.85"
20222212,"86.85"
20222112,"85.60"
20222012,"86.87"
20221912,"84.69"
20221612,"83.68"
20221512,"85.20"
20221412,"86.19"
20221312,"88.99"
20221212,"89.81"
20220912,"87.73"
20220812,"88.93"
20220712,"88.19"
20220612,"88.61"
20220512,"87.17"
20220212,"87.98"
20220112,"84.88"
20223011,"84.90"
20222911,"81.39"
20222811,"78.59"
20222511,"78.97"
20222411,"78.69"
20222311,"75.87"
20222211,"73.87"
20222111,"74.28"
20221811,"72.47"
20221711,"72.40"
20221611,"73.41"
20221511,"76.65"
20221411,"75.23"
20221111,"75.84"
20221011,"73.05"
20220911,"72.76"
20220811,"76.06"
20220711,"77.49"
20220411,"76.36"
20220311,"76.28"
20220211,"76.70"
20220111,"76.72"
20223110,"79.97"
20222810,"81.21"
20222710,"80.21"
20222610,"75.79"
20222510,"77.11"
20222410,"72.32"
20222110,"68.72"
20222010,"66.87"
20221910,"67.29"
20221810,"67.77"
20221710,"67.51"
20221410,"68.02"
20221310,"68.84"
20221210,"66.71"
20221110,"66.34"
20221010,"66.77"
20220710,"69.85"
20220610,"68.96"
20220510,"67.07"
20220410,"66.92"
20220310,"65.94"
20223009,"66.73"
20222909,"65.73"
20222809,"65.15"
20222709,"67.96"
20222609,"70.33"
20222309,"65.77"
20222209,"70.44"
20222109,"69.79"
20222009,"71.14"
20221909,"71.10"
20221609,"73.27"
20221509,"71.85"
20221409,"72.54"
20221309,"69.75"
20221209,"71.82"
20220909,"66.08"
20220809,"67.24"
20220709,"69.03"
20220609,"69.88"
20220509,"74.45"
20220209,"77.89"
20220109,"80.79"
20223108,"80.03"
20223008,"80.81"
20222908,"86.66"
20222608,"90.31"
20222508,"89.31"
20222408,"89.24"
20222308,"89.29"
20222208,"92.17"
